county,ward,total,Screnock,Dallet,SCATTERING
,Town of BELL Ward 1,175,65,110,0
,Town of CABLE Ward 1,174,74,100,0
,Town of CLOVER Ward 1,98,32,66,0
,Town of DELTA Ward 1,101,54,47,0
,Town of DRUMMOND Ward 1,119,50,69,0
,Town of EILEEN Ward 1,178,87,91,0
,Town of EILEEN Ward 2,0,0,0,0
,Town of GRAND VIEW Ward 1,102,36,66,0
,Town of HUGHES Ward 1,155,75,80,0
,Town of IRON RIVER Ward 1-2,322,151,171,0
,Town of KELLY Ward 1,88,44,44,0
,Town of KEYSTONE Ward 1,73,34,39,0
,Town of LINCOLN Ward 1,75,34,41,0
,Town of MASON Ward 1,73,36,37,0
,Town of NAMAKAGON Ward 1,77,27,50,0
,Town of ORIENTA Ward 1,42,17,25,0
,Town of OULU Ward 1,153,78,75,0
,Town of PILSEN Ward 1,64,18,46,0
,Town of PORT WING Ward 1,152,50,102,0
,Town of RUSSELL Ward 1-2,182,32,150,0
,Town of TRIPP Ward 1,56,23,33,0
,Town of WASHBURN Ward 1,184,46,138,0
,Village of MASON Ward 1,16,5,11,0
,CITY OF ASHLAND Ward 12,0,0,0,0
,"City of BAYFIELD Ward 1,3",69,10,59,0
,City of BAYFIELD Ward 2,43,3,40,0
,City of BAYFIELD Ward 4,60,4,56,0
,City of WASHBURN Ward 1,275,53,222,0
,City of WASHBURN Ward 2,98,14,84,0
,City of WASHBURN Ward 3,85,15,70,0
,City of WASHBURN Ward 4,224,63,161,0
,County Totals:,"4,412","1,550","2,862",0
BROWN ,Town of EATON Ward 1-2,219,119,100,0
,Town of GLENMORE Ward 1,119,75,44,0
,Town of GLENMORE Ward 2,66,39,27,0
,Town of GREEN BAY Ward 1-3,636,340,296,0
,Town of HOLLAND Ward 1-2,249,151,97,1
,Town of HUMBOLDT Ward 1-2,324,187,137,0
,Town of LAWRENCE Ward 1-3,299,129,170,0
,Town of LAWRENCE Ward 4-6,417,239,178,0
,Town of LEDGEVIEW Ward 1,21,11,10,0
,Town of LEDGEVIEW Wards 2-10,"1,159",555,603,1
,Town of MORRISON Ward 1-2,297,197,100,0
,Town of NEW DENMARK Ward 1-2,197,103,94,0
,Town of NEW DENMARK Ward 3,78,41,37,0
,Town of PITTSFIELD Ward 1-3,427,245,182,0
,Town of ROCKLAND Ward 1,88,56,32,0
,Town of ROCKLAND Ward 2-3,227,121,106,0
,Town of SCOTT Wards 1-4,605,263,342,0
,Town of WRIGHTSTOWN Ward 1,150,77,73,0
,Town of WRIGHTSTOWN Ward 2-3,190,127,63,0
,Village of ALLOUEZ Ward 1-2,735,269,466,0
,Village of ALLOUEZ Ward 3,181,76,105,0
,Village of ALLOUEZ Ward 4,485,185,300,0
,Village of ALLOUEZ Ward 5-6,779,355,423,1
,Village of ALLOUEZ Ward 7-9,585,233,352,0
,Village of ALLOUEZ Ward 10,0,0,0,0
,Village of ASHWAUBENON Wards 1-2,327,151,176,0
,Village of ASHWAUBENON Wards 3-4,339,168,171,0
,Village of ASHWAUBENON Wards 5-6,397,184,213,0
,Village of ASHWAUBENON Ward 7,232,117,115,0
,Village of ASHWAUBENON Ward 8,212,81,131,0
,Village of ASHWAUBENON Wards 9-10,517,226,291,0
,Village of ASHWAUBENON Wards 11-12,423,177,246,0
,Village of BELLEVUE Wards 1-4,462,210,252,0
,Village of BELLEVUE Wards 5-6,412,184,228,0
,Village of BELLEVUE Wards 7-10,"1,227",595,632,0
,Village of DENMARK Ward 1-3,307,156,151,0
,Village of DENMARK Ward 4,0,0,0,0
,Village of HOBART Ward 1-5,737,400,337,0
,Village of HOBART Ward 6-9,305,176,129,0
,Village of HOWARD Ward 1-2,307,154,152,1
,Village of HOWARD Ward 3-4,151,80,71,0
,Village of HOWARD Ward 5-6,346,163,182,1
,Village of HOWARD Wards 7-8,722,352,368,2
,Village of HOWARD Ward 9-10,669,301,368,0
,Village of HOWARD Ward 11-12,625,309,316,0
,Village of HOWARD Ward 13,276,128,148,0
,Village of HOWARD Ward 14,150,95,55,0
,Village of HOWARD Ward 15,472,241,230,1
,Village of HOWARD Ward 16,205,92,113,0
,Village of HOWARD Ward 18,163,67,96,0
,"Village of PULASKI Ward 1-3,6",457,214,243,0
,Village of SUAMICO Wards 1-4,"1,404",766,633,5
,Village of SUAMICO Ward 5,451,231,220,0
,Village of SUAMICO Wards 6-8,"1,218",629,587,2
,Village of WRIGHTSTOWN Wards 1-3,302,167,135,0
,"City of DE PERE Wards 1-2,4",895,349,545,1
,"City of DE PERE Wards 3,5",340,114,225,1
,City of DE PERE Wards 6-8,684,265,419,0
,City of DE PERE Ward 9,146,59,87,0
,City of DE PERE Wards 10-12,604,227,374,3
,City of DE PERE Ward 13,243,108,135,0
,City of DE PERE Wards 14-15,465,217,248,0
,City of DE PERE Ward 16,3,2,1,0
,City of DE PERE Ward 17,0,0,0,0
,City of DE PERE Ward 18,0,0,0,0
,City of GREEN BAY Ward 1,4,3,1,0
,City of GREEN BAY Ward 2,422,147,274,1
,City of GREEN BAY Ward 3,412,166,246,0
,City of GREEN BAY Ward 4,509,217,289,3
,City of GREEN BAY Ward 5,259,107,152,0
,City of GREEN BAY Ward 6,591,266,324,1
,City of GREEN BAY Ward 7,287,128,159,0
,City of GREEN BAY Ward 8,588,228,358,2
,City of GREEN BAY Ward 9,104,37,66,1
,City of GREEN BAY Ward 10,221,92,128,1
,City of GREEN BAY Ward 11,197,87,110,0
,City of GREEN BAY Ward 12,167,70,95,2
,City of GREEN BAY Ward 13,156,50,105,1
,City of GREEN BAY Ward 14,168,65,103,0
,City of GREEN BAY Ward 15,438,133,300,5
,City of GREEN BAY Ward 16,420,117,303,0
,City of GREEN BAY Ward 17,229,78,151,0
,City of GREEN BAY Ward 18,303,114,187,2
,City of GREEN BAY Ward 19,123,48,75,0
,City of GREEN BAY Ward 20,159,55,104,0
,City of GREEN BAY Ward 21,117,38,79,0
,City of GREEN BAY Ward 22,87,28,59,0
,City of GREEN BAY Ward 23,149,46,102,1
,City of GREEN BAY Ward 24,225,76,147,2
,City of GREEN BAY Ward 25,224,69,155,0
,City of GREEN BAY Ward 26,227,53,174,0
,City of GREEN BAY Ward 27,45,10,35,0
,City of GREEN BAY Ward 28,189,50,137,2
,City of GREEN BAY Ward 29,380,142,237,1
,City of GREEN BAY Ward 30,398,110,286,2
,City of GREEN BAY Ward 31,374,142,229,3
,City of GREEN BAY Ward 32,266,106,160,0
,City of GREEN BAY Ward 33,199,71,127,1
,City of GREEN BAY Ward 34,415,168,245,2
,City of GREEN BAY Ward 35,293,129,163,1
,City of GREEN BAY Ward 36,104,47,57,0
,City of GREEN BAY Ward 37,199,83,116,0
,City of GREEN BAY Ward 38,339,101,238,0
,City of GREEN BAY Ward 39,372,144,228,0
,City of GREEN BAY Ward 40,270,107,161,2
,City of GREEN BAY Ward 41,166,74,92,0
,City of GREEN BAY Ward 42,136,64,72,0
,City of GREEN BAY Ward 43,298,118,180,0
,City of GREEN BAY Ward 44,472,219,252,1
,City of GREEN BAY Ward 45,617,323,293,1
,City of GREEN BAY Ward 46,357,120,237,0
,City of GREEN BAY Ward 47,559,264,294,1
,County Totals:,"38,962","17,458","21,445",59
BUFFALO ,Town of ALMA Ward 1,91,39,52,0
,Town of BELVIDERE Ward 1,113,66,47,0
,Town of BUFFALO Ward 1,91,46,45,0
,Town of CANTON Ward 1,64,29,35,0
,Town of CROSS Ward 1,60,32,28,0
,Town of DOVER Ward 1,72,29,43,0
,Town of GILMANTON Ward 1,71,37,34,0
,Town of GLENCOE Ward 1,147,91,56,0
,Town of LINCOLN Ward 1,63,35,28,0
,Town of MAXVILLE Ward 1,75,43,32,0
,Town of MILTON Ward 1,120,53,67,0
,Town of MODENA Ward 1,92,50,42,0
,Town of MONDOVI Ward 1,117,63,54,0
,Town of MONTANA Ward 1,59,33,26,0
,Town of NAPLES Ward 1,146,90,56,0
,Town of NELSON Ward 1,145,90,55,0
,Town of WAUMANDEE Ward 1,177,104,73,0
,Village of COCHRANE Ward 1,61,27,34,0
,Village of NELSON Ward 1,79,35,43,1
,City of ALMA Wards 1-2,182,86,96,0
,City of BUFFALO CITY Ward 1,199,98,100,1
,City of FOUNTAIN CITY Ward 1-2,192,89,103,0
,City of MONDOVI Ward 1-3,695,380,314,1
,County Totals:,"3,111","1,645","1,463",3
BURNETT ,Town of ANDERSON Ward 1,44,24,20,0
,Town of BLAINE Ward 1,32,18,14,0
,Town of DANIELS Ward 1,103,64,39,0
,Town of DEWEY Ward 1,119,89,30,0
,Town of GRANTSBURG Wards 1-3,151,101,50,0
,Town of JACKSON Ward 1,132,64,68,0
,Town of LA FOLLETTE Wards 1-2,83,37,46,0
,Town of LINCOLN Ward 1,40,26,14,0
,Town of MEENON Wards 1-3,107,65,42,0
,Town of OAKLAND Wards 1-2,122,55,67,0
,Town of ROOSEVELT Ward 1,42,27,15,0
,Town of RUSK Ward 1,63,39,24,0
,Town of SAND LAKE Ward 1,72,33,39,0
,Town of SCOTT Wards 1-2,122,60,62,0
,Town of SIREN Wards 1-2,161,102,59,0
,Town of SWISS Wards 1-2,91,32,59,0
,Town of TRADE LAKE Wards 1-2,191,124,67,0
,Town of UNION Ward 1,36,22,14,0
,Town of WEBB LAKE Ward 1,142,72,70,0
,Town of WEST MARSHLAND Wards 1-2,56,39,17,0
,Town of WOOD RIVER Wards 1-3,152,103,49,0
,Village of GRANTSBURG Ward 1-3,180,102,78,0
,Village of SIREN Ward 1-2,122,75,47,0
,Village of WEBSTER Wards 1-2,63,33,30,0
,County Totals:,"2,426","1,406","1,020",0
CALUMET ,Town of BRILLION Wards 1-2,253,155,98,0
,Town of BROTHERTOWN Wards 1-2,195,134,61,0
,Town of CHARLESTOWN Ward 1,132,80,52,0
,Town of CHILTON Ward 1,65,38,27,0
,Town of CHILTON Ward 2,107,75,32,0
,Town of CHILTON Ward 3,13,11,2,0
,Town of HARRISON Ward 10,0,0,0,0
,"Town of NEW HOLSTEIN Wards 1,3",221,132,88,1
,Town of NEW HOLSTEIN Ward 2,52,31,21,0
,Town of RANTOUL Ward 1,102,74,28,0
,Town of STOCKBRIDGE Wards 1-2,222,144,78,0
,Town of STOCKBRIDGE Ward 3,46,19,27,0
,Town of WOODVILLE Ward 1,140,91,49,0
,Village of HARRISON Wards 3-4,233,137,96,0
,"Village of HARRISON Wards 5-6,10",239,121,118,0
,"Village of HARRISON Wards 7-9,14",274,127,147,0
,Village of HARRISON Wards 11-13,394,203,191,0
,Village of HARRISON Ward 15,33,15,18,0
,Village of HARRISON Ward 16,98,55,43,0
,Village of HARRISON Ward 17,24,13,11,0
,Village of HARRISON Ward 18,105,40,65,0
,Village of HILBERT Ward 1-2,138,94,44,0
,Village of HILBERT Ward 3,0,0,0,0
,Village of POTTER Ward 1,34,22,12,0
,Village of SHERWOOD Ward 1,59,31,28,0
,Village of SHERWOOD Wards 2-4,518,256,262,0
,Village of SHERWOOD Ward 5,2,2,0,0
,Village of STOCKBRIDGE Ward 1,171,76,95,0
,CITY OF APPLETON Ward 12,85,24,60,1
,CITY OF APPLETON Ward 13,205,77,128,0
,CITY OF APPLETON Ward 14,194,75,119,0
,CITY OF APPLETON Ward 26,252,105,147,0
,CITY OF APPLETON Ward 44,249,93,155,1
,CITY OF APPLETON Ward 45,398,148,250,0
,CITY OF APPLETON Ward 46,29,13,16,0
,CITY OF APPLETON Ward 47,0,0,0,0
,City of BRILLION Ward 1,109,52,57,0
,City of BRILLION Wards 2-4,361,203,158,0
,City of CHILTON Ward 1,94,56,38,0
,"City of CHILTON Wards 2,5",242,137,105,0
,City of CHILTON Ward 3,122,69,53,0
,City of CHILTON Ward 4,104,50,54,0
,CITY OF KAUKAUNA Ward 11,0,0,0,0
,CITY OF KIEL Ward 7,54,21,33,0
,CITY OF MENASHA Wards 16-20,438,178,260,0
,City of NEW HOLSTEIN Wards 1-2,111,62,49,0
,City of NEW HOLSTEIN Ward 3,106,56,50,0
,City of NEW HOLSTEIN Ward 4,116,47,69,0
,City of NEW HOLSTEIN Ward 5,110,59,51,0
,County Totals:,"7,249","3,701","3,545",3
CHIPPEWA ,Town of ANSON Ward 1-4,499,234,265,0
,Town of ARTHUR Ward 1,102,57,45,0
,Town of AUBURN Ward 1,111,55,56,0
,Town of BIRCH CREEK Ward 1,111,62,49,0
,Town of BLOOMER Wards 1-2,110,66,44,0
,Town of CLEVELAND Ward 1,125,64,61,0
,Town of COLBURN Ward 1,120,81,39,0
,Town of COOKS VALLEY Ward 1,100,55,45,0
,Town of DELMAR Ward 1,167,96,71,0
,Town of EAGLE POINT Wards 1-5,614,329,285,0
,Town of EDSON Wards 1-2,132,70,62,0
,Town of ESTELLA Ward 1,59,43,16,0
,Town of GOETZ Wards 1-3,111,50,61,0
,Town of HALLIE Ward 1,48,21,27,0
,Town of HOWARD Ward 1,130,69,61,0
,Town of LAFAYETTE Wards 1-9,"1,357",623,734,0
,Town of LAKE HOLCOMBE Wards 1-2,168,96,72,0
,Town of RUBY Ward 1,50,32,18,0
,Town of SAMPSON Ward 1,170,104,66,0
,Town of SIGEL Wards 1-2,121,66,55,0
,Town of TILDEN Wards 1-3,372,209,163,0
,Town of WHEATON Wards 1-3,581,306,275,0
,Town of WOODMOHR Wards 1-2,196,109,87,0
,Village of BOYD Ward 1,87,36,51,0
,Village of CADOTT Wards 1-3,147,52,95,0
,Village of LAKE HALLIE Wards 1-8,"1,004",490,514,0
,Village of NEW AUBURN Ward 1,67,39,28,0
,City of BLOOMER Wards 1-4,423,234,189,0
,City of CHIPPEWA FALLS Ward 1,229,94,135,0
,City of CHIPPEWA FALLS Ward 2,347,157,190,0
,City of CHIPPEWA FALLS Ward 3,429,187,242,0
,City of CHIPPEWA FALLS Ward 3A,0,0,0,0
,City of CHIPPEWA FALLS Ward 3B,0,0,0,0
,City of CHIPPEWA FALLS Ward 4,275,96,179,0
,City of CHIPPEWA FALLS Ward 5,208,72,136,0
,City of CHIPPEWA FALLS Ward 6,204,87,117,0
,City of CHIPPEWA FALLS Ward 7,333,143,190,0
,City of CHIPPEWA FALLS Ward 7A,0,0,0,0
,City of CORNELL Wards 1-4,195,102,93,0
,CITY OF EAU CLAIRE Ward 16,206,75,131,0
,CITY OF EAU CLAIRE Ward 40,0,0,0,0
,CITY OF EAU CLAIRE Ward 41,29,6,23,0
,"City of STANLEY Wards 1-4,6-7",370,182,188,0
,County Totals:,"10,107","4,949","5,158",0
CLARK ,Town of BEAVER Ward 1,100,57,43,0
,Town of BUTLER Ward 1,24,15,9,0
,Town of COLBY Ward 1,4,3,1,0
,Town of COLBY Ward 2,75,38,37,0
,Town of COLBY Ward 3,21,13,8,0
,Town of DEWHURST Ward 1,61,35,26,0
,Town of EATON Ward 1,94,68,26,0
,Town of EATON Ward 2,21,12,9,0
,Town of FOSTER Ward 1,40,27,13,0
,Town of FREMONT Ward 1,103,62,41,0
,Town of FREMONT Ward 2,44,35,9,0
,Town of GRANT Ward 1,130,74,56,0
,Town of GRANT Ward 2,26,16,10,0
,Town of GREEN GROVE Ward 1,51,27,24,0
,Town of GREEN GROVE Ward 2,4,2,2,0
,Town of HENDREN Ward 1,101,59,42,0
,Town of HEWETT Ward 1,62,29,33,0
,Town of HEWETT Ward 2,13,3,10,0
,Town of HIXON Ward 1,60,32,28,0
,Town of HIXON Ward 2,9,4,5,0
,Town of HOARD Ward 1,40,35,5,0
,Town of HOARD Ward 2,46,25,21,0
,Town of LEVIS Ward 1,47,29,18,0
,Town of LEVIS Ward 2,42,33,9,0
,Town of LONGWOOD Ward 1,25,18,7,0
,Town of LONGWOOD Ward 2,47,24,23,0
,Town of LOYAL Ward 1,17,15,2,0
,Town of LOYAL Ward 2,92,69,23,0
,Town of LYNN Ward 1,50,30,20,0
,Town of LYNN Ward 2,33,22,11,0
,Town of MAYVILLE Ward 1,25,14,11,0
,Town of MAYVILLE Ward 2,55,37,18,0
,Town of MEAD Ward 1,40,22,18,0
,Town of MENTOR Ward 1,65,31,34,0
,Town of PINE VALLEY Wards 1-2,304,171,133,0
,Town of RESEBURG Ward 1,66,29,37,0
,Town of RESEBURG Ward 2,9,1,8,0
,Town of SEIF Ward 1,53,22,31,0
,Town of SHERMAN Ward 1,10,7,3,0
,Town of SHERMAN Ward 2,104,62,42,0
,Town of SHERWOOD Ward 1,61,33,28,0
,Town of THORP Ward 1,101,55,46,0
,Town of UNITY Ward 1,93,55,38,0
,Town of WARNER Ward 1,85,54,31,0
,Town of WARNER Ward 2,14,8,6,0
,Town of WASHBURN Ward 1,74,53,21,0
,Town of WESTON Ward 1,72,39,33,0
,Town of WESTON Ward 2,93,52,41,0
,Town of WITHEE Ward 1,83,52,31,0
,Town of WORDEN Ward 1,79,45,34,0
,Town of YORK Ward 1,103,58,45,0
,Town of YORK Ward 2,35,26,9,0
,Village of CURTISS Ward 1,24,21,3,0
,Village of DORCHESTER Ward 1,93,45,47,1
,Village of GRANTON Ward 1,90,45,45,0
,VILLAGE OF UNITY Ward 2,14,11,3,0
,Village of WITHEE Ward 1,75,38,37,0
,City of ABBOTSFORD Ward 2,67,29,38,0
,City of ABBOTSFORD Ward 3,30,13,17,0
,City of ABBOTSFORD Ward 4,85,36,49,0
,City of ABBOTSFORD Ward 5,22,12,10,0
,City of ABBOTSFORD Ward 7,0,0,0,0
,City of COLBY Ward 2,51,28,22,1
,City of COLBY Ward 3,53,27,26,0
,City of COLBY Ward 4,50,34,16,0
,City of GREENWOOD Ward 1,117,48,69,0
,City of GREENWOOD Ward 2,93,58,35,0
,City of LOYAL Ward 1,115,66,49,0
,City of LOYAL Ward 2,142,82,60,0
,City of NEILLSVILLE Ward 1,98,48,50,0
,City of NEILLSVILLE Ward 2,136,77,58,1
,City of NEILLSVILLE Ward 3,144,62,81,1
,City of NEILLSVILLE Ward 4,84,41,43,0
,City of NEILLSVILLE Ward 5,52,32,20,0
,City of OWEN Ward 1,85,37,48,0
,City of OWEN Ward 2,35,19,16,0
,City of OWEN Ward 3,40,16,24,0
,"CITY OF STANLEY Wards 5,8",2,1,1,0
,City of THORP Ward 1,64,30,34,0
,City of THORP Ward 2,57,36,21,0
,City of THORP Ward 3,75,43,32,0
,City of THORP Ward 4,64,39,25,0
,County Totals:,"5,163","2,911","2,248",4
COLUMBIA ,Town of ARLINGTON Ward 1,166,78,87,1
,Town of CALEDONIA Wards 1-2,350,129,221,0
,Town of COLUMBUS Ward 1,169,91,77,1
,Town of COURTLAND Ward 1,113,79,34,0
,Town of DEKORRA Wards 1-3,562,259,303,0
,Town of FORT WINNEBAGO Ward 1,176,90,86,0
,Town of FOUNTAIN PRAIRIE Wards 1-2,308,136,170,2
,Town of HAMPDEN Ward 1,143,70,73,0
,Town of LEEDS Wards 1-2,191,88,102,1
,Town of LEWISTON Wards 1-2,231,118,113,0
,Town of LODI Wards 1-5,690,300,389,1
,Town of LOWVILLE Wards 1-2,246,117,128,1
,Town of MARCELLON Wards 1-2,240,126,114,0
,Town of NEWPORT Ward 1,145,75,70,0
,Town of OTSEGO Ward 1,148,68,80,0
,Town of PACIFIC Wards 1-4,563,280,283,0
,Town of RANDOLPH Ward 1,152,109,43,0
,Town of SCOTT Ward 1,150,94,56,0
,Town of SPRINGVALE Wards 1-2,114,54,60,0
,Town of WEST POINT Wards 1-3,433,161,272,0
,Town of WYOCENA Wards 1-2,374,178,196,0
,Village of ARLINGTON Ward 1,159,82,77,0
,Village of CAMBRIA Ward 1,160,67,93,0
,Village of DOYLESTOWN Ward 1,55,15,40,0
,Village of FALL RIVER Wards 1-2,500,222,276,2
,Village of FRIESLAND Ward 1,75,50,25,0
,Village of PARDEEVILLE Ward 1-3,392,203,189,0
,Village of POYNETTE Ward 1-4,401,140,261,0
,VILLAGE OF RANDOLPH Ward 3,87,59,28,0
,Village of RIO Ward 1-2,175,62,112,1
,Village of WYOCENA Ward 1,130,72,58,0
,City of COLUMBUS Ward 1-10,"1,040",382,656,2
,City of LODI Wards 1-6,593,171,422,0
,City of PORTAGE Wards 1-11,"1,221",438,782,1
,"City of WISCONSIN DELLS Wards 1,11",146,75,70,1
,City of WISCONSIN DELLS Ward 2,149,52,97,0
,"City of WISCONSIN DELLS Wards 3,6",227,99,128,0
,County Totals:,"11,174","4,889","6,271",14
CRAWFORD ,Town of BRIDGEPORT Ward 1,189,95,94,0
,Town of CLAYTON Wards 1-3,176,51,125,0
,Town of EASTMAN Wards 1-2,141,87,54,0
,Town of FREEMAN Ward 1,138,45,93,0
,Town of HANEY Ward 1,65,21,44,0
,Town of MARIETTA Ward 1,111,54,57,0
,Town of PRAIRIE DU CHIEN Wards 1-2,161,90,71,0
,Town of SCOTT Ward 1,105,40,65,0
,Town of SENECA Ward 1,131,49,82,0
,Town of UTICA Ward 1,143,51,91,1
,Town of WAUZEKA Wards 1-2,92,44,48,0
,Village of BELL CENTER Ward 1,22,9,13,0
,VILLAGE OF DE SOTO Ward 2,14,6,8,0
,Village of EASTMAN Ward 1,65,35,30,0
,Village of FERRYVILLE Ward 1,50,24,26,0
,Village of GAYS MILLS Ward 1,106,36,70,0
,Village of LYNXVILLE Ward 1,29,15,14,0
,Village of MT. STERLING Ward 1,36,14,22,0
,Village of SOLDIERS GROVE Ward 1,77,28,49,0
,Village of STEUBEN Ward 1,41,20,21,0
,Village of WAUZEKA Ward 1,124,49,75,0
,City of PRAIRIE DU CHIEN Ward 1,131,57,74,0
,"City of PRAIRIE DU CHIEN Wards 2,7",143,60,83,0
,City of PRAIRIE DU CHIEN Ward 3,108,41,67,0
,City of PRAIRIE DU CHIEN Ward 4,83,32,48,3
,City of PRAIRIE DU CHIEN Ward 5,109,40,69,0
,City of PRAIRIE DU CHIEN Ward 6,160,50,110,0
,County Totals:,"2,750","1,143","1,603",4
DANE ,Town of ALBION Wards 1-2,463,184,278,1
,Town of BERRY Wards 1-2,359,128,231,0
,Town of BLACK EARTH Ward 1,164,61,103,0
,Town of BLOOMING GROVE Wards 1-3,403,80,323,0
,Town of BLUE MOUNDS Ward 1,250,87,163,0
,Town of BRISTOL Ward 1-4,791,326,465,0
,Town of BURKE Wards 1-4,739,255,484,0
,Town of CHRISTIANA Ward 1-2,269,100,169,0
,Town of COTTAGE GROVE Wards 1-7,998,326,672,0
,Town of CROSS PLAINS Wards 1-3,466,158,308,0
,Town of DANE Ward 1,211,113,98,0
,Town of DEERFIELD Wards 1-2,351,127,223,1
,Town of DUNKIRK Ward 1-6,541,197,342,2
,Town of DUNN Ward 1-7,"1,389",434,954,1
,Town of MADISON Ward 1,169,7,162,0
,Town of MADISON Ward 2-9,677,63,613,1
,Town of MAZOMANIE Wards 1-2,277,102,175,0
,Town of MEDINA Wards 1-2,347,141,206,0
